f_property_type,f_neighbourhood_cleansed,n_accommodates,n_bathrooms,n_bedrooms,n_beds,n_review_scores_rating,n_number_of_reviews,n_reviews_per_month,n_minimum_nights,n_availability_365,n_days_sincelast,d_baking_sheet,d_bathtub,d_bed_linens,d_bidet,d_building_staff,d_carbon_monoxide_alarm,d_cleaning_before_checkout,d_cleaning_products,d_cooking_basics,d_dining_table,d_dishes_and_silverware,d_drying_rack_for_clothing,d_elevator,d_essentials,d_ethernet_connection,d_ev_charger,d_extra_pillows_and_blankets,d_fire_extinguisher,d_first_aid_kit,d_freezer,d_hangers,d_host_greets_you,d_hot_tub,d_hot_water,d_hot_water_kettle,d_keypad,d_laundromat_nearby,d_lock_on_bedroom_door,d_lockbox,d_long_term_stays_allowed,d_luggage_dropoff_allowed,d_microwave,d_mini_fridge,d_mosquito_net,d_outdoor_dining_area,d_outdoor_furniture,d_private_entrance,d_roomdarkening_shades,d_safe,d_security_cameras_on_property,d_single_level_home,d_smart_lock,d_smoke_alarm,d_toaster,d_window_guards,d_wine_glasses,d_have_kitchen,d_have_stove,d_have_oven,d_have_frige,d_coffee_machine,d_have_gril,d_free_parking_on_premises,d_free_parking_on_street,d_paid_parking_on_premises,d_paid_parking_off_premises,d_wifi,d_have_cable,d_have_tv,d_have_sound_system,d_shampoo_toiletries,d_have_washerdryer,d_have_iron,d_have_heating,d_have_air_condfan,d_balcony,d_have_garden,d_have_breakfast,d_have_workoffice,d_have_fitnessgym,d_family_friendly,d_have_fireplace,d_have_clothing_storage,d_f_property_type,d_host_is_superhost,d_host_identity_verified,price,id,property_type,flag_f_neighbourhood_cleansed,flag_days_sincelast,flag_review_scores_rating,flag_reviews_per_month,f_bathrooms,ln_bed,f_beds,f_bedrooms,f_review_scores_rating,f_number_of_reviews,f_minimum_nights
condo,MAGENTA - S. VITTORE,4,1,1,2,4.19,16,0.21,2,364,17,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,condo,0,1,220,42732,condo,0,0,0,0,1,0.6931471805599453,2,2,3,2,1
loft,TICINESE,3,1,1,2,4.85,45,0.35,2,134,973,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,loft,0,1,90,79696,loft,0,0,0,0,1,0.6931471805599453,2,2,3,2,1
loft,LAMBRATE,4,2,2,3,4.7,72,0.57,3,1,46,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,loft,1,1,170,85798,loft,0,0,0,0,2,1.0986122886681098,3,2,3,2,1
loft,"NAVIGLI",6,1,2,5,4.63,25,0.19,1,347,16,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,loft,0,1,88,90830,loft,0,0,0,0,1,1.6094379124341003,3,2,3,2,1
condo,STADERA,4,1,3,3,5,8,0.07,3,256,1062,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,condo,0,1,100,101087,condo,0,0,0,0,1,1.0986122886681098,3,2,3,2,1
condo,WASHINGTON,4,2,1,3,4.87,146,1.13,2,167,673,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,condo,1,1,98,109384,condo,0,0,0,0,2,1.0986122886681098,3,2,3,3,1
condo,PORTA ROMANA,2,1,1,1,4.97,99,0.79,2,169,95,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,condo,0,1,95,206450,condo,0,0,0,0,1,0,1,2,3,3,1
condo,BRERA,4,2,2,1,4.75,72,0.64,1,266,11,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,condo,0,1,270,233795,condo,0,0,0,0,2,0,1,2,3,2,1
condo,BUENOS AIRES - VENEZIA,2,3,1,1,4.8,6,0.06,3,69,1155,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,condo,0,1,135,256390,condo,0,0,0,0,2,0,1,2,3,2,1
condo,VIGENTINA,4,1,2,2,4.57,8,0.07,2,289,1107,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,condo,0,0,60,256399,condo,0,0,0,0,1,0.6931471805599453,2,2,3,2,1
