f_property_type,f_neighbourhood_cleansed,f_host_response_time,p_host_response_rate,p_host_acceptance_rate,n_accommodates,n_bathrooms,n_bedrooms,n_beds,n_review_scores_rating,n_number_of_reviews,n_reviews_per_month,n_minimum_nights,n_availability_365,n_days_sincefirst,n_days_sincelast,d_baking_sheet,d_bathtub,d_bed_linens,d_bidet,d_building_staff,d_carbon_monoxide_alarm,d_cleaning_before_checkout,d_cleaning_products,d_cooking_basics,d_dining_table,d_dishes_and_silverware,d_drying_rack_for_clothing,d_elevator,d_essentials,d_ethernet_connection,d_ev_charger,d_extra_pillows_and_blankets,d_fire_extinguisher,d_first_aid_kit,d_freezer,d_hangers,d_host_greets_you,d_hot_tub,d_hot_water,d_hot_water_kettle,d_keypad,d_laundromat_nearby,d_lock_on_bedroom_door,d_lockbox,d_long_term_stays_allowed,d_luggage_dropoff_allowed,d_microwave,d_mini_fridge,d_mosquito_net,d_outdoor_dining_area,d_outdoor_furniture,d_private_entrance,d_roomdarkening_shades,d_safe,d_security_cameras_on_property,d_single_level_home,d_smart_lock,d_smoke_alarm,d_toaster,d_window_guards,d_wine_glasses,d_have_kitchen,d_have_stove,d_have_oven,d_have_frige,d_have_o_machineee_machinecoffee,d_have_gril,d_have_freeon_premises,d_have_freestreet,d_have_paidon_premisvalet,d_have_paidoff_premisesselfparkingparking,d_have_wifiinternet,d_have_cable,d_have_tv,d_have_sound_system,d_have_toiletriesshampooconditionerbody_soapgel,d_have_washerdryer,d_have_iron,d_have_heating,d_have_air_condfan,d_have_balconyterrace,d_have_garden,d_have_breakfast,d_have_workoffice,d_have_fitnessgym,d_have_childrenbabycribhighcornerchang,d_have_fireplace,d_have_clothing_storage,d_f_property_type,d_host_is_superhost,d_host_identity_verified,price,id,neighbourhood_cleansed,property_type
condo,MAGENTA - S. VITTORE,within an hour,100,42,4,1,1,2,4.19,16,0.21,2,364,2284,17,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,condo,0,1,220,42732,MAGENTA - S. VITTORE,condo
loft,TICINESE,NA,NA,33,3,1,1,2,4.85,45,0.35,2,134,3897,973,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,loft,0,1,90,79696,TICINESE,loft
loft,LAMBRATE,within an hour,100,87,4,2,2,3,4.7,72,0.57,3,1,3773,46,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,loft,1,1,170,85798,LAMBRATE,loft
loft,"NAVIGLI",within an hour,100,99,6,1,2,5,4.63,25,0.19,1,347,3896,16,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,loft,0,1,88,90830,"NAVIGLI",loft
condo,STADERA,NA,NA,NA,4,1,3,3,5,8,0.07,3,256,3563,1062,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,condo,0,1,100,101087,STADERA,condo
condo,WASHINGTON,NA,NA,33,4,2,1,NA,4.87,146,1.13,2,167,3861,673,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,condo,1,1,98,109384,WASHINGTON,condo
condo,PORTA ROMANA,within an hour,100,100,2,1,1,1,4.97,99,0.79,2,169,3742,95,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,condo,0,1,95,206450,PORTA ROMANA,condo
condo,BRERA,within a few hours,90,42,4,2,2,1,4.75,72,0.64,1,266,3389,11,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,condo,0,1,270,233795,BRERA,condo
condo,BUENOS AIRES - VENEZIA,within a day,100,14,2,3,1,NA,4.8,6,0.06,3,69,3166,1155,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,condo,0,1,135,256390,BUENOS AIRES - VENEZIA,condo
condo,VIGENTINA,NA,NA,NA,4,1,2,2,4.57,8,0.07,2,289,3601,1107,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,condo,0,0,60,256399,VIGENTINA,condo
